Entry,Fixed,Variable
1,2490000.0,0.24
2,2480000.0,0.63
3,1300000.0,0.82
4,2220000.0,0.51
5,1280000.0,0.36
6,1590000.0,0.49
7,1330000.0,0.68
8,1980000.0,0.29
9,1090000.0,0.52
10,1370000.0,0.43
11,1260000.0,0.5
12,2950000.0,0.81
13,1190000.0,0.86
14,2810000.0,0.63
15,2200000.0,0.25
16,1790000.0,0.25
17,2330000.0,0.65
18,2320000.0,0.58
19,1770000.0,0.53
20,2430000.0,0.73
21,2310000.0,0.55
22,1100000.0,0.25
23,1960000.0,0.87
24,1970000.0,0.46
25,1550000.0,0.37
26,2110000.0,0.61
27,2580000.0,0.65
